unitid,year,applied,admitted,enrolled,est_fte,grad_rate_150,inst_name,acceptance_rate,yield_rate,is_bowdoin
131788,2002,0.0,0.0,0.0,,66.7,SOUTHEASTERN UNIVERSITY,,,False
131876,2002,387.0,290.0,177.0,,36.8,TRINITY COLLEGE,74.93540051679587,61.03448275862069,False
132471,2002,2167.0,1572.0,437.0,,57.1,BARRY UNIVERSITY,72.54268574065529,27.798982188295163,False
132657,2002,2405.0,1995.0,445.0,,43.0,LYNN UNIVERSITY,82.95218295218295,22.305764411027567,False
133553,2002,2855.0,2235.0,875.0,,55.9,EMBRY RIDDLE AERONAUTICAL UNIVERSITY-DAYTONA BEACH,78.28371278458845,39.14988814317674,False
134945,2002,1553.0,1132.0,399.0,,53.6,JACKSONVILLE UNIVERSITY,72.89117836445588,35.24734982332156,False
136330,2002,1551.0,819.0,399.0,,45.6,PALM BEACH ATLANTIC COLLEGE-WEST PALM BEACH,52.804642166344294,48.717948717948715,False
136950,2002,2307.0,1462.0,467.0,,60.1,ROLLINS COLLEGE,63.37234503684439,31.942544459644324,False
137476,2002,824.0,532.0,221.0,,37.5,SAINT THOMAS UNIVERSITY,64.56310679611651,41.54135338345865,False
137546,2002,1942.0,1545.0,559.0,,72.0,STETSON UNIVERSITY,79.55715756951597,36.18122977346278,False
139199,2002,301.0,226.0,125.0,,35.3,BRENAU UNIVERSITY,75.08305647840533,55.309734513274336,False
140447,2002,2697.0,2289.0,615.0,,49.5,MERCER UNIVERSITY,84.87208008898777,26.86762778505898,False
141486,2002,1140.0,743.0,212.0,,41.0,CHAMINADE UNIVERSITY OF HONOLULU,65.17543859649123,28.532974427994617,False
141644,2002,2839.0,2159.0,592.0,,35.8,HAWAII PACIFIC UNIVERSITY,76.04790419161677,27.420101899027326,False
143118,2002,1148.0,655.0,294.0,,53.5,AURORA UNIVERSITY,57.055749128919864,44.88549618320611,False
143358,2002,5506.0,3714.0,1111.0,,73.1,BRADLEY UNIVERSITY,67.45368688703233,29.913839526117393,False
144281,2002,0.0,0.0,0.0,,29.5,COLUMBIA COLLEGE CHICAGO,,,False
144351,2002,981.0,563.0,242.0,,59.8,CONCORDIA UNIVERSITY,57.39041794087666,42.98401420959148,False
145619,2002,852.0,565.0,262.0,,58.1,BENEDICTINE UNIVERSITY,66.31455399061032,46.3716814159292,False
146612,2002,1208.0,817.0,373.0,,56.3,LEWIS UNIVERSITY,67.63245033112582,45.65483476132191,False
147660,2002,1504.0,1110.0,364.0,,69.2,NORTH CENTRAL COLLEGE,73.8031914893617,32.79279279279279,False
147679,2002,1480.0,1077.0,348.0,,56.1,NORTH PARK UNIVERSITY,72.77027027027026,32.31197771587744,False
147828,2002,1584.0,1276.0,563.0,,63.3,OLIVET NAZARENE UNIVERSITY,80.55555555555556,44.122257053291534,False
148405,2002,657.0,386.0,129.0,,44.3,ROCKFORD COLLEGE,58.75190258751902,33.41968911917099,False
148487,2002,846.0,598.0,289.0,,26.8,ROOSEVELT UNIVERSITY,70.6855791962175,48.32775919732442,False
148496,2002,600.0,496.0,225.0,,61.4,DOMINICAN UNIVERSITY,82.66666666666667,45.36290322580645,False
148584,2002,664.0,457.0,148.0,,58.5,UNIVERSITY OF ST FRANCIS,68.82530120481928,32.38512035010941,False
148627,2002,1702.0,1195.0,380.0,,55.0,SAINT XAVIER UNIVERSITY,70.21151586368978,31.799163179916317,False
150163,2002,3817.0,3056.0,940.0,,71.4,BUTLER UNIVERSITY,80.06287660466334,30.759162303664922,False
150534,2002,1883.0,1599.0,608.0,,66.3,UNIVERSITY OF EVANSVILLE,84.91768454593733,38.02376485303315,False
151263,2002,2191.0,1751.0,555.0,,57.0,UNIVERSITY OF INDIANAPOLIS,79.91784573254222,31.6961736150771,False
151801,2002,2577.0,2315.0,1037.0,,59.4,INDIANA WESLEYAN UNIVERSITY,89.83313930927434,44.79481641468683,False
152336,2002,1297.0,1002.0,581.0,,58.7,UNIVERSITY OF SAINT FRANCIS,77.25520431765614,57.98403193612774,False
152600,2002,3411.0,863.0,717.0,,74.6,VALPARAISO UNIVERSITY,25.300498387569625,83.08227114716107,False
153269,2002,2543.0,2194.0,776.0,,75.8,DRAKE UNIVERSITY,86.27605190719623,35.369188696444844,False
153861,2002,71.0,45.0,37.0,,42.3,MAHARISHI UNIVERSITY OF MANAGEMENT,63.38028169014085,82.22222222222221,False
154235,2002,1079.0,939.0,393.0,,69.5,SAINT AMBROSE UNIVERSITY,87.02502316960148,41.853035143769965,False
154688,2002,844.0,801.0,231.0,,64.4,BAKER UNIVERSITY COLLEGE OF ARTS AND SCIENCES,94.90521327014217,28.83895131086142,False
155089,2002,480.0,413.0,199.0,,59.6,FRIENDS UNIVERSITY,86.04166666666667,48.18401937046005,False
155812,2002,538.0,305.0,75.0,,54.5,SAINT MARY COLLEGE,56.69144981412639,24.59016393442623,False
156286,2002,1285.0,1028.0,332.0,,65.7,BELLARMINE UNIVERSITY,80.0,32.295719844357976,False
157757,2002,552.0,472.0,472.0,,45.3,SPALDING UNIVERSITY,85.5072463768116,100.0,False
158477,2002,936.0,611.0,273.0,,66.4,CENTENARY COLLEGE OF LOUISIANA,65.27777777777779,44.680851063829785,False
159656,2002,3603.0,2444.0,874.0,,61.7,LOYOLA UNIVERSITY NEW ORLEANS,67.83236192062171,35.761047463175125,False
160904,2002,3862.0,3356.0,976.0,,57.2,XAVIER UNIVERSITY OF LOUISIANA,86.89798032107716,29.082240762812873,False
162760,2002,530.0,412.0,179.0,,76.6,HOOD COLLEGE,77.73584905660378,43.44660194174757,False
163046,2002,6368.0,3895.0,901.0,,84.5,LOYOLA COLLEGE,61.165201005025125,23.13222079589217,False
163462,2002,1904.0,1575.0,400.0,,71.5,MOUNT SAINT MARYS COLLEGE,82.72058823529412,25.396825396825395,False
163578,2002,400.0,299.0,159.0,,73.1,COLLEGE OF NOTRE DAME OF MARYLAND,74.75,53.17725752508361,False
164447,2002,1761.0,1228.0,340.0,,45.9,AMERICAN INTERNATIONAL COLLEGE,69.73310618966497,27.68729641693811,False
164492,2002,574.0,475.0,159.0,,50.0,ANNA MARIA COLLEGE,82.75261324041811,33.473684210526315,False
